epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,319.048,1.00129,0.63425,1.29121,0.9358,0.9166,0.95909,0.59508,1.15827,0.53812,1.547,0.000406,0.000406,0.000406
62,324.214,0.97154,0.61743,1.26951,0.87587,0.95021,0.94635,0.57372,1.14345,0.52822,1.54675,0.0003961,0.0003961,0.0003961
63,329.331,0.97262,0.63435,1.28643,0.95828,0.89467,0.96333,0.58263,1.14353,0.54509,1.52728,0.0003862,0.0003862,0.0003862
64,334.465,0.97812,0.62485,1.28336,0.95018,0.93644,0.97305,0.59994,1.14784,0.51937,1.55088,0.0003763,0.0003763,0.0003763
65,339.565,0.94712,0.60785,1.25294,0.95104,0.88411,0.94849,0.58333,1.154,0.54249,1.54646,0.0003664,0.0003664,0.0003664
66,344.761,0.94163,0.60254,1.26993,0.91655,0.90079,0.93876,0.58844,1.1149,0.51339,1.5137,0.0003565,0.0003565,0.0003565
67,349.896,0.94539,0.59574,1.25609,0.93415,0.93174,0.96009,0.58374,1.1365,0.49876,1.54465,0.0003466,0.0003466,0.0003466
68,354.964,0.95201,0.59479,1.25634,0.91581,0.90917,0.93777,0.59045,1.11564,0.50429,1.50302,0.0003367,0.0003367,0.0003367
69,360.038,0.93178,0.59002,1.24695,0.88865,0.93854,0.96305,0.58411,1.13018,0.5103,1.53264,0.0003268,0.0003268,0.0003268
70,365.173,0.94472,0.58348,1.2479,0.91002,0.94411,0.97066,0.60292,1.10521,0.49045,1.51733,0.0003169,0.0003169,0.0003169
71,370.302,0.91575,0.57839,1.24937,0.91783,0.92511,0.95546,0.57922,1.17148,0.50824,1.56376,0.000307,0.000307,0.000307
72,375.469,0.92595,0.5798,1.25592,0.94886,0.94734,0.97104,0.58255,1.14365,0.51599,1.54401,0.0002971,0.0002971,0.0002971
73,380.607,0.9276,0.57093,1.24904,0.95062,0.95544,0.97458,0.5991,1.1456,0.50646,1.54737,0.0002872,0.0002872,0.0002872
74,385.674,0.91782,0.56078,1.23998,0.93035,0.93936,0.97546,0.60509,1.11911,0.47927,1.5279,0.0002773,0.0002773,0.0002773
75,390.971,0.92783,0.57935,1.2526,0.92272,0.94828,0.98215,0.60621,1.10946,0.49204,1.52395,0.0002674,0.0002674,0.0002674
76,396.073,0.92381,0.57179,1.24613,0.95324,0.94532,0.97449,0.61219,1.12387,0.47703,1.53856,0.0002575,0.0002575,0.0002575
77,401.218,0.92109,0.56391,1.23434,0.96038,0.92109,0.97053,0.60104,1.13212,0.47271,1.55023,0.0002476,0.0002476,0.0002476
78,406.323,0.88701,0.54074,1.22,0.9218,0.95821,0.96579,0.58593,1.12323,0.48606,1.55016,0.0002377,0.0002377,0.0002377
79,411.472,0.88607,0.55874,1.22294,0.93719,0.92681,0.96397,0.58367,1.11173,0.48772,1.53779,0.0002278,0.0002278,0.0002278
80,416.604,0.88019,0.54142,1.21048,0.93482,0.936,0.96147,0.5844,1.10784,0.4804,1.53505,0.0002179,0.0002179,0.0002179
81,421.65,0.90718,0.55521,1.22179,0.91586,0.95221,0.95089,0.57732,1.12469,0.48619,1.5342,0.000208,0.000208,0.000208
82,426.768,0.87902,0.53957,1.22532,0.90903,0.96563,0.9682,0.58462,1.145,0.48915,1.55893,0.0001981,0.0001981,0.0001981
83,432.001,0.88365,0.54509,1.22307,0.91775,0.95433,0.96853,0.59075,1.13481,0.48317,1.56045,0.0001882,0.0001882,0.0001882
84,437.153,0.88949,0.54156,1.22675,0.95849,0.95112,0.98375,0.62161,1.10711,0.45656,1.53274,0.0001783,0.0001783,0.0001783
85,442.269,0.88097,0.53421,1.21774,0.92534,0.96787,0.97222,0.595,1.12583,0.46638,1.52998,0.0001684,0.0001684,0.0001684
86,447.36,0.86024,0.52995,1.20433,0.94952,0.93653,0.97967,0.60641,1.12787,0.45628,1.54489,0.0001585,0.0001585,0.0001585
87,452.49,0.8734,0.53986,1.21498,0.94066,0.95397,0.98131,0.60329,1.12474,0.46581,1.5448,0.0001486,0.0001486,0.0001486
88,457.588,0.85652,0.52381,1.20479,0.94719,0.94381,0.97817,0.59205,1.12369,0.47133,1.54978,0.0001387,0.0001387,0.0001387
89,462.692,0.86021,0.53154,1.20998,0.94718,0.94553,0.97496,0.59307,1.11424,0.46768,1.53801,0.0001288,0.0001288,0.0001288
90,467.852,0.84426,0.52333,1.20323,0.93838,0.94438,0.96589,0.58921,1.13241,0.47416,1.55461,0.0001189,0.0001189,0.0001189
91,474.87,0.78373,0.4171,1.25063,0.96264,0.93453,0.96689,0.59213,1.12561,0.46827,1.55521,0.000109,0.000109,0.000109
92,480.196,0.76918,0.38578,1.23415,0.9242,0.95652,0.96456,0.59199,1.13637,0.48283,1.56209,9.91e-05,9.91e-05,9.91e-05
93,485.288,0.75923,0.38966,1.23858,0.93928,0.95055,0.97601,0.57472,1.12375,0.45913,1.55062,8.92e-05,8.92e-05,8.92e-05
94,490.342,0.75344,0.38038,1.24233,0.9454,0.94777,0.97809,0.59087,1.12263,0.46157,1.55095,7.93e-05,7.93e-05,7.93e-05
95,495.387,0.74224,0.38562,1.21942,0.94792,0.94674,0.97856,0.61168,1.12021,0.45836,1.55772,6.94e-05,6.94e-05,6.94e-05
96,500.493,0.74386,0.37793,1.22838,0.94879,0.9481,0.97855,0.60471,1.13121,0.46292,1.56542,5.95e-05,5.95e-05,5.95e-05
97,505.558,0.72191,0.36993,1.21042,0.95186,0.95609,0.97821,0.59993,1.12541,0.46114,1.56414,4.96e-05,4.96e-05,4.96e-05
98,510.631,0.72861,0.36241,1.20814,0.95409,0.95404,0.97487,0.5996,1.12249,0.46528,1.56706,3.97e-05,3.97e-05,3.97e-05
99,515.783,0.73279,0.36989,1.2024,0.95761,0.95607,0.9764,0.60289,1.11808,0.46096,1.56404,2.98e-05,2.98e-05,2.98e-05
100,520.852,0.71888,0.35977,1.20021,0.95034,0.95367,0.97331,0.59968,1.12074,0.46008,1.56916,1.99e-05,1.99e-05,1.99e-05
